transaction_id,order_id,order_date,ship_date,ship_mode,customer_id,segment,country,city,state,product_id,category,sub_category,product_name,sales,quantity,discount,total_amount,payment_method,shipping_status
5078,CA-2024-0078,2024-02-16,2024-10-22,Standard,1660,Consumer,USA,Abbottchester,Nevada,P3867,Electronics,Smartphones,Heavy Printer,54.92,2,7.43,75.62,Credit Card,Delivered
5079,CA-2024-0079,2024-08-01,2023-06-10,Same Day,1330,Corporate,USA,Grantbury,Oregon,P3461,Furniture,Tables,Staff Phone,285.79,4,18.26,456.72,Bank Transfer,Cancelled
5080,CA-2024-0080,2024-07-30,2023-09-04,Standard,1129,Consumer,USA,New Laurie,Wyoming,P3739,Electronics,Laptops,Have Printer,1567.88,2,1.71,2374.69,PayPal,Delivered
5081,CA-2024-0081,2024-07-17,2023-04-01,Same Day,1026,Consumer,USA,Sandraberg,Massachusetts,P3278,Office Supplies,Chairs,Benefit Printer,733.66,5,16.44,699.51,PayPal,Shipped
5082,CA-2024-0082,2024-05-19,2024-07-25,Same Day,1056,Consumer,USA,East Alexaburgh,Kansas,P3610,Furniture,Chairs,Across Printer,1467.18,5,2.99,488.18,PayPal,Shipped
5083,CA-2024-0083,2023-07-01,2023-12-01,Express,1903,Consumer,USA,New Danielleton,Utah,P3599,Electronics,Tables,Group Monitor,2486.19,2,11.49,2010.42,Debit Card,Delivered
5084,CA-2024-0084,2023-08-05,2023-03-03,Express,1763,Consumer,USA,Allisonmouth,Arizona,P3716,Office Supplies,Laptops,Present Printer,117.33,5,12.0,2068.56,PayPal,Shipped
5085,CA-2024-0085,2023-10-08,2024-01-12,Standard,1031,Home Office,USA,Christinaton,Iowa,P3800,Furniture,Laptops,Science Phone,1784.01,5,5.67,169.62,Debit Card,Delivered
5086,CA-2024-0086,2023-12-02,2023-08-21,Standard,1870,Consumer,USA,Rubiochester,Montana,P3130,Office Supplies,Smartphones,Truth Desk,2386.85,3,15.33,449.23,Bank Transfer,Shipped
5087,CA-2024-0087,2023-08-08,2024-08-17,Standard,1464,Consumer,USA,West William,Ohio,P3850,Office Supplies,Tables,Third Printer,436.15,1,19.94,1636.62,Credit Card,Delivered
5088,CA-2024-0088,2025-02-24,2023-09-10,Same Day,1588,Consumer,USA,South Tarahaven,Alabama,P3716,Furniture,Tables,Capital Printer,1186.49,5,19.96,2360.62,PayPal,Cancelled
5089,CA-2024-0089,2023-07-12,2024-06-21,Standard,1087,Consumer,USA,Debrafurt,Wyoming,P3770,Electronics,Smartphones,Detail Phone,2156.3,4,11.74,1219.5,Credit Card,In Transit
5090,CA-2024-0090,2024-08-02,2023-03-10,Standard,1411,Corporate,USA,Port Amy,Kansas,P3357,Furniture,Smartphones,None Phone,1271.51,2,7.7,1278.93,Debit Card,In Transit
5091,CA-2024-0091,2023-05-04,2024-04-12,Express,1148,Home Office,USA,Garciastad,Florida,P3378,Electronics,Chairs,White Monitor,2313.44,4,5.14,1839.39,Credit Card,Shipped
5092,CA-2024-0092,2023-10-02,2024-06-09,Express,1339,Consumer,USA,Port Mandyfurt,Alaska,P3117,Furniture,Smartphones,Meeting Laptop,2260.8,2,10.56,2173.66,PayPal,Delivered
5093,CA-2024-0093,2023-06-08,2023-08-03,Express,1377,Home Office,USA,Lake Jonathan,Nevada,P3299,Electronics,Tables,Listen Phone,720.72,5,9.65,2324.59,Debit Card,Cancelled
5094,CA-2024-0094,2024-10-30,2023-07-20,Standard,1357,Corporate,USA,Port Kimberly,Iowa,P3375,Office Supplies,Smartphones,Decade Printer,2085.81,5,2.3,119.24,Bank Transfer,Cancelled
5095,CA-2024-0095,2023-03-07,2023-03-31,Same Day,1924,Home Office,USA,Michaelburgh,Oklahoma,P3807,Office Supplies,Printers,Yet Laptop,2128.4,2,4.27,731.61,PayPal,Shipped
5096,CA-2024-0096,2024-09-28,2023-11-20,Express,1840,Corporate,USA,South Lindsayhaven,Arizona,P3430,Furniture,Tables,Author Printer,661.06,1,18.89,755.38,Credit Card,Shipped
5097,CA-2024-0097,2023-04-10,2024-01-23,Express,1689,Home Office,USA,Delacruzburgh,Louisiana,P3736,Electronics,Tables,How Desk,1611.44,4,5.42,199.71,Bank Transfer,Cancelled
5098,CA-2024-0098,2023-08-06,2024-11-24,Express,1147,Consumer,USA,West Robinshire,Pennsylvania,P3198,Electronics,Tables,Out Monitor,2388.96,5,4.6,226.64,Credit Card,Cancelled
5099,CA-2024-0099,2023-08-02,2023-04-22,Express,1365,Consumer,USA,East Dylan,Arkansas,P3760,Electronics,Chairs,We Printer,2191.13,5,2.84,334.26,Debit Card,In Transit
5100,CA-2024-0100,2024-10-21,2025-02-21,Same Day,1726,Corporate,USA,North Richard,Kentucky,P3172,Office Supplies,Tables,School Laptop,1651.56,1,2.65,2355.24,PayPal,Delivered
5101,CA-2024-0101,2023-11-29,2023-05-16,Standard,1852,Corporate,USA,Ramirezfurt,Oklahoma,P3932,Furniture,Smartphones,Glass Desk,673.48,4,5.32,1634.33,PayPal,In Transit
5102,CA-2024-0102,2024-04-14,2023-05-20,Standard,1528,Consumer,USA,South Dawnton,Wisconsin,P3347,Furniture,Chairs,Run Printer,726.1,1,1.6,834.82,PayPal,In Transit
5103,CA-2024-0103,2023-06-04,2024-01-07,Express,1030,Home Office,USA,Frazierburgh,North Dakota,P3020,Furniture,Printers,Clear Monitor,303.59,5,12.72,1740.91,Debit Card,Cancelled
5104,CA-2024-0104,2025-02-18,2024-02-06,Standard,1189,Home Office,USA,Robertview,South Dakota,P3347,Office Supplies,Chairs,Ground Laptop,584.44,3,7.68,587.16,Debit Card,Cancelled
5105,CA-2024-0105,2023-09-23,2023-12-05,Express,1954,Home Office,USA,Amystad,Missouri,P3541,Electronics,Laptops,Probably Desk,1961.96,5,0.67,2309.69,Credit Card,Shipped
5106,CA-2024-0106,2024-06-09,2023-07-03,Express,1900,Home Office,USA,Glennland,Nevada,P3507,Electronics,Chairs,Finish Printer,435.91,4,13.27,1261.04,Credit Card,In Transit
5107,CA-2024-0107,2023-12-31,2024-08-26,Standard,1720,Consumer,USA,Daniellefort,Mississippi,P3155,Electronics,Tables,Law Monitor,1463.33,4,19.83,1741.27,Debit Card,Cancelled
5108,CA-2024-0108,2024-03-05,2023-03-31,Express,1313,Consumer,USA,West Shannon,South Carolina,P3412,Electronics,Printers,Commercial Phone,1699.4,5,8.23,1147.51,PayPal,Delivered
5109,CA-2024-0109,2023-07-09,2024-07-18,Standard,1709,Corporate,USA,West Johnny,New Jersey,P3695,Office Supplies,Printers,A Phone,274.76,1,16.09,2408.33,PayPal,Delivered
5110,CA-2024-0110,2023-05-13,2024-07-02,Same Day,1840,Home Office,USA,West Ryan,Vermont,P3318,Office Supplies,Tables,Kind Laptop,1954.14,4,6.49,194.04,Credit Card,Cancelled
5111,CA-2024-0111,2024-07-18,2023-09-13,Standard,1419,Corporate,USA,Christinastad,South Dakota,P3077,Electronics,Laptops,Position Laptop,1723.87,3,8.99,1462.7,Bank Transfer,In Transit
5112,CA-2024-0112,2024-01-30,2024-12-15,Standard,1664,Consumer,USA,Adkinsview,Arizona,P3824,Office Supplies,Chairs,Never Laptop,133.52,3,7.68,1124.82,Credit Card,Delivered
5113,CA-2024-0113,2024-09-17,2024-11-06,Same Day,1434,Corporate,USA,Garciaburgh,Florida,P3595,Office Supplies,Laptops,Produce Monitor,2044.9,2,10.15,1710.9,Debit Card,Cancelled
5114,CA-2024-0114,2024-07-13,2024-10-26,Standard,1765,Consumer,USA,Katherineport,Vermont,P3493,Electronics,Printers,Maintain Monitor,179.53,5,2.69,545.51,PayPal,Shipped
5115,CA-2024-0115,2023-09-24,2023-12-17,Standard,1639,Corporate,USA,East Kelly,California,P3394,Electronics,Smartphones,Spring Phone,2181.91,2,19.24,2013.25,Bank Transfer,Delivered
5116,CA-2024-0116,2024-05-20,2023-08-31,Express,1222,Home Office,USA,South Lindseyfort,Utah,P3787,Furniture,Tables,Buy Desk,1870.89,1,3.26,932.09,Debit Card,Delivered
5117,CA-2024-0117,2023-07-15,2024-08-28,Express,1849,Home Office,USA,East Betty,Nebraska,P3886,Office Supplies,Tables,Kind Laptop,2414.18,4,15.12,2203.85,Credit Card,In Transit
5118,CA-2024-0118,2023-04-29,2024-05-22,Same Day,1537,Consumer,USA,East Hollymouth,New Mexico,P3087,Office Supplies,Printers,After Monitor,1376.61,5,15.11,369.05,Debit Card,Shipped
5119,CA-2024-0119,2025-02-13,2024-06-28,Express,1964,Consumer,USA,Samuelstad,Montana,P3250,Furniture,Chairs,Perform Printer,1953.54,1,10.98,2393.67,Debit Card,In Transit
5120,CA-2024-0120,2023-06-22,2024-12-02,Standard,1092,Home Office,USA,Garrettberg,New Hampshire,P3068,Office Supplies,Smartphones,Position Laptop,1604.79,4,4.63,1980.79,Bank Transfer,Delivered
5121,CA-2024-0121,2024-09-24,2023-03-07,Standard,1722,Consumer,USA,Flemingstad,Utah,P3628,Electronics,Smartphones,Plan Printer,831.55,3,2.61,1618.91,Credit Card,Delivered
5122,CA-2024-0122,2024-11-26,2023-07-07,Standard,1481,Home Office,USA,Port Sabrina,Wisconsin,P3373,Electronics,Chairs,Local Monitor,345.03,2,14.05,1240.64,Credit Card,In Transit
5123,CA-2024-0123,2024-10-02,2023-09-14,Standard,1461,Home Office,USA,North Davidmouth,Maine,P3285,Office Supplies,Smartphones,Baby Monitor,1037.51,5,0.79,2467.08,Debit Card,Shipped
5124,CA-2024-0124,2023-12-25,2024-06-02,Same Day,1571,Home Office,USA,Michaelbury,Missouri,P3501,Electronics,Laptops,Think Desk,237.15,3,5.2,1424.81,Debit Card,Shipped
5125,CA-2024-0125,2023-12-28,2024-05-25,Express,1964,Corporate,USA,Daniellestad,Montana,P3176,Office Supplies,Printers,Story Desk,1156.34,1,15.03,594.01,PayPal,Delivered
5126,CA-2024-0126,2024-11-26,2024-11-05,Express,1066,Consumer,USA,Kellyborough,Arizona,P3419,Furniture,Laptops,Pressure Phone,1419.9,3,9.87,853.6,PayPal,Shipped
5127,CA-2024-0127,2023-05-31,2024-07-18,Express,1684,Consumer,USA,Walkerberg,Oklahoma,P3065,Office Supplies,Tables,Then Laptop,1497.25,5,14.65,335.12,PayPal,In Transit
5128,CA-2024-0128,2024-01-13,2023-07-24,Same Day,1130,Consumer,USA,Goodmanstad,North Dakota,P3680,Electronics,Tables,Safe Laptop,2469.61,2,17.57,1840.44,Credit Card,Delivered
5129,CA-2024-0129,2023-12-17,2024-02-08,Express,1379,Corporate,USA,Anthonytown,Missouri,P3712,Office Supplies,Tables,That Phone,1804.85,4,7.33,1317.79,Debit Card,Shipped
5130,CA-2024-0130,2024-01-16,2023-05-18,Express,1560,Corporate,USA,North Connorville,Florida,P3404,Furniture,Chairs,Free Laptop,245.61,5,18.58,119.31,Bank Transfer,In Transit
5131,CA-2024-0131,2024-05-21,2024-11-11,Standard,1012,Consumer,USA,Pottsville,New York,P3224,Electronics,Chairs,So Printer,839.28,1,15.07,164.79,Bank Transfer,Delivered
5132,CA-2024-0132,2024-09-12,2023-11-26,Same Day,1216,Home Office,USA,East Jillianport,New Mexico,P3985,Electronics,Printers,Question Monitor,741.7,2,16.12,1949.55,PayPal,Shipped
5133,CA-2024-0133,2023-05-16,2023-05-04,Express,1793,Corporate,USA,South Markstad,Louisiana,P3240,Office Supplies,Chairs,Hear Printer,118.11,1,4.63,1227.61,PayPal,Shipped
5134,CA-2024-0134,2024-10-26,2024-07-06,Same Day,1761,Home Office,USA,West Wendy,Montana,P3855,Furniture,Chairs,Work Printer,2073.61,3,10.11,337.57,Bank Transfer,Cancelled
5135,CA-2024-0135,2024-04-29,2023-08-18,Standard,1491,Home Office,USA,Walkertown,New York,P3688,Office Supplies,Laptops,Now Printer,274.09,2,14.04,738.79,Debit Card,Cancelled
5136,CA-2024-0136,2023-06-14,2025-01-02,Express,1348,Corporate,USA,Michaelfort,Mississippi,P3387,Office Supplies,Laptops,First Desk,1523.86,5,12.4,1390.58,PayPal,Shipped
5137,CA-2024-0137,2023-11-11,2024-12-21,Same Day,1259,Consumer,USA,South Laura,North Carolina,P3954,Office Supplies,Chairs,World Monitor,1230.46,4,4.39,341.37,Credit Card,Delivered
